customer_id,join_date,country,loyalty_tier,return_rate,fraud_flag
1,2023-04-11,US,None,0.247,0
2,2025-03-17,US,Silver,0.164,0
3,2023-08-05,CA,None,0.318,0
4,2023-05-17,US,None,0.109,0
5,2025-08-05,US,None,0.364,0
6,2023-05-14,US,None,0.073,0
7,2023-12-11,CA,None,0.382,0
8,2023-03-02,US,None,0.117,0
9,2023-08-24,CA,None,0.127,0
10,2023-05-26,US,Gold,0.245,0
11,2023-11-14,CA,Silver,0.384,0
12,2024-11-16,CA,None,0.054,0
13,2025-03-05,CA,Silver,0.257,0
14,2023-06-03,US,Silver,0.181,0
15,2023-07-10,US,None,0.094,0
16,2023-11-11,US,None,0.242,0
17,2024-06-16,US,None,0.09,0
18,2025-08-25,US,None,0.243,0
19,2024-06-25,US,Silver,0.105,0
20,2024-10-11,US,None,0.135,0
21,2025-02-03,CA,Silver,0.196,0
22,2024-04-10,US,Gold,0.266,0
23,2022-12-30,US,None,0.112,0
24,2022-11-15,US,None,0.206,0
25,2023-08-18,CA,None,0.139,0
26,2025-04-23,US,Gold,0.115,0
27,2023-02-11,US,None,0.268,0
28,2023-11-02,US,Silver,0.144,0
29,2024-03-17,US,None,0.119,0
30,2024-05-07,US,None,0.198,0
31,2025-05-15,US,Silver,0.061,0
32,2025-01-05,US,None,0.142,0
33,2025-04-12,CA,None,0.213,0
34,2023-02-25,CA,None,0.027,0
35,2023-09-23,US,None,0.095,0
36,2025-09-21,US,None,0.144,0
37,2023-05-01,US,Platinum,0.267,0
38,2023-01-20,US,None,0.489,0
39,2024-11-05,CA,Gold,0.1,0
40,2025-08-15,US,Silver,0.044,0
41,2023-09-06,US,None,0.055,0
42,2023-08-02,US,None,0.111,0
43,2023-05-06,US,Gold,0.384,0
44,2022-12-13,CA,None,0.039,0
45,2023-09-05,CA,Gold,0.168,0
46,2023-12-18,US,None,0.222,0
47,2024-12-05,US,None,0.101,0
48,2023-08-29,US,None,0.262,0
49,2022-12-25,US,None,0.375,0
50,2024-08-17,US,None,0.065,0
51,2024-05-06,CA,Silver,0.268,0
52,2023-02-20,US,None,0.192,0
53,2023-08-23,US,Silver,0.154,0
54,2025-01-03,US,None,0.119,0
55,2025-03-13,US,Gold,0.321,0
56,2025-04-03,US,None,0.065,0
57,2023-08-20,US,None,0.124,0
58,2023-02-20,US,None,0.24,0
59,2025-06-09,CA,None,0.159,0
60,2025-06-19,US,None,0.294,0
61,2024-08-23,US,Silver,0.086,0
62,2022-11-09,US,None,0.262,0
63,2025-03-25,CA,None,0.241,0
64,2023-07-24,US,None,0.209,0
65,2022-12-25,US,Gold,0.092,0
66,2023-03-16,CA,Silver,0.251,0
67,2023-08-31,CA,Gold,0.108,0
68,2023-12-26,CA,Gold,0.656,0
69,2023-06-29,US,None,0.092,0
70,2024-07-22,US,None,0.085,0
71,2024-11-28,US,Silver,0.223,0
72,2025-09-01,US,Platinum,0.022,0
73,2023-08-19,US,Silver,0.102,0
74,2023-07-11,US,Platinum,0.189,0
75,2024-07-10,US,Silver,0.158,0
76,2025-05-13,US,None,0.046,0
77,2023-09-04,US,Platinum,0.362,0
78,2024-04-04,US,Silver,0.399,0
79,2023-02-07,US,None,0.187,0
80,2023-12-30,US,Silver,0.048,0
81,2023-10-23,US,Silver,0.033,0
82,2025-05-22,CA,None,0.073,0
83,2025-10-19,US,None,0.229,0
84,2022-11-16,US,None,0.086,0
85,2025-01-14,US,None,0.067,0
86,2022-12-01,CA,None,0.231,0
87,2024-06-27,US,Gold,0.138,0
88,2024-02-24,CA,None,0.225,0
89,2023-09-29,CA,Silver,0.273,0
90,2024-03-25,CA,Silver,0.121,1
91,2023-12-21,CA,None,0.164,0
92,2023-08-11,CA,None,0.122,0
93,2024-02-07,US,Silver,0.199,0
94,2024-11-27,US,Silver,0.165,0
95,2023-12-14,US,None,0.211,0
96,2023-01-23,CA,Gold,0.349,0
97,2025-07-06,US,None,0.276,1
98,2024-09-19,US,Silver,0.066,0
99,2024-10-23,US,Silver,0.143,0
100,2024-06-29,US,None,0.111,0
101,2025-03-08,CA,None,0.145,0
102,2025-01-28,US,None,0.315,0
103,2023-09-23,US,Gold,0.069,0
104,2024-05-16,CA,Gold,0.12,0
105,2025-03-09,US,None,0.162,0
106,2025-08-22,CA,None,0.133,0
107,2023-12-26,US,Gold,0.099,0
108,2022-12-23,CA,Gold,0.213,0
109,2022-12-28,US,Silver,0.179,0
110,2023-12-11,CA,Gold,0.135,0
111,2024-09-13,CA,None,0.053,0
112,2023-09-18,US,Gold,0.207,0
113,2023-10-02,US,Gold,0.111,0
114,2023-11-14,US,Silver,0.501,0
115,2023-06-23,US,None,0.343,0
116,2024-02-21,CA,Platinum,0.318,0
117,2023-02-21,US,None,0.228,0
118,2023-03-25,US,Gold,0.358,0
119,2025-02-11,CA,None,0.333,0
120,2024-10-28,US,None,0.21,0
121,2024-10-06,US,None,0.246,0
122,2025-03-28,US,None,0.368,0
123,2023-02-23,US,Silver,0.234,1
124,2023-08-13,CA,None,0.109,0
125,2025-06-28,US,Silver,0.348,0
126,2025-01-02,US,Silver,0.273,0
127,2023-11-18,US,Gold,0.038,0
128,2024-12-08,US,None,0.175,0
129,2023-01-13,US,None,0.103,0
130,2024-01-10,US,Gold,0.329,0
131,2025-08-29,CA,Silver,0.151,0
132,2025-09-21,US,None,0.088,0
133,2024-09-01,US,Silver,0.339,0
134,2023-06-04,US,None,0.102,0
135,2025-05-26,US,Gold,0.043,0
136,2023-05-17,US,None,0.225,0
137,2025-05-25,US,None,0.21,0
138,2023-11-17,US,Silver,0.182,0
139,2023-01-10,US,None,0.197,0
140,2023-03-04,US,Gold,0.306,0
141,2024-03-14,US,Silver,0.223,0
142,2023-04-02,US,None,0.11,0
143,2025-08-04,US,None,0.066,0
144,2025-02-28,US,None,0.045,0
145,2023-12-26,US,Platinum,0.281,0
146,2023-09-16,US,None,0.132,0
147,2023-10-07,US,Gold,0.12,0
148,2025-07-13,CA,Silver,0.044,0
149,2024-11-10,CA,Silver,0.131,0
150,2023-11-01,US,Gold,0.236,0
151,2023-03-01,CA,Silver,0.203,0
152,2025-08-07,US,None,0.094,0
153,2023-11-24,US,None,0.153,0
154,2025-09-18,US,None,0.092,0
155,2025-11-01,US,None,0.04,0
156,2022-12-20,US,None,0.402,0
157,2022-11-13,US,None,0.109,0
158,2023-02-27,US,None,0.35,0
159,2025-04-25,US,Gold,0.165,0
160,2025-01-17,US,Gold,0.262,0
161,2024-08-24,US,None,0.264,0
162,2025-10-03,US,Gold,0.197,0
163,2024-03-12,US,Silver,0.245,0
164,2024-10-20,US,None,0.254,0
165,2024-11-05,US,None,0.311,0
166,2023-01-13,US,None,0.033,0
167,2025-06-07,US,None,0.113,0
168,2025-05-19,US,None,0.496,0
169,2024-11-09,US,Silver,0.034,0
170,2023-04-23,US,None,0.142,0
171,2024-07-18,US,None,0.171,0
172,2023-06-02,US,Silver,0.215,0
173,2024-07-06,US,None,0.349,1
174,2023-11-01,US,Platinum,0.203,0
175,2024-01-28,US,Silver,0.346,0
176,2023-03-23,US,Gold,0.138,0
177,2025-09-27,US,None,0.02,0
178,2023-10-27,US,Silver,0.293,0
179,2024-05-21,US,Silver,0.155,0
180,2024-11-07,US,Silver,0.085,0
181,2024-11-20,CA,Platinum,0.425,0
182,2024-10-18,US,None,0.086,0
183,2025-07-13,CA,None,0.135,0
184,2024-11-09,US,Silver,0.184,0
185,2025-05-29,US,Silver,0.146,0
186,2023-02-24,US,None,0.097,0
187,2023-04-26,US,None,0.243,0
188,2025-05-12,US,None,0.102,0
189,2023-06-04,CA,Gold,0.34,0
190,2023-10-26,CA,Silver,0.495,0
191,2022-11-09,US,None,0.21,0
192,2025-01-22,CA,None,0.206,0
193,2024-08-21,US,None,0.097,0
194,2022-12-08,US,None,0.543,0
195,2025-02-18,CA,None,0.07,0
196,2023-08-27,US,None,0.213,0
197,2024-07-20,US,None,0.36,0
198,2024-02-13,US,None,0.106,0
199,2023-10-06,US,Gold,0.171,0
200,2025-01-07,US,None,0.099,0
201,2023-07-28,US,Silver,0.272,0
202,2025-10-17,US,Silver,0.311,0
203,2025-01-06,US,Silver,0.09,0
204,2023-06-04,US,Silver,0.036,0
205,2023-05-17,US,None,0.012,0
206,2024-01-11,US,Silver,0.107,0
207,2025-01-04,US,None,0.184,0
208,2024-08-10,US,None,0.353,0
209,2023-11-14,US,Silver,0.209,0
210,2025-08-07,US,None,0.157,0
211,2024-12-30,CA,None,0.269,0
212,2025-10-07,US,None,0.272,0
213,2024-03-30,US,None,0.158,0
214,2024-10-27,US,Platinum,0.049,0
215,2024-11-25,US,None,0.294,0
216,2023-03-02,US,Gold,0.185,0
217,2023-11-19,US,None,0.06,0
218,2023-02-17,US,Gold,0.226,0
219,2024-01-01,CA,None,0.114,0
220,2023-05-27,US,None,0.382,0
221,2025-04-01,US,None,0.106,0
222,2025-06-04,US,Silver,0.307,0
223,2023-03-13,US,None,0.389,0
224,2024-01-31,US,None,0.142,0
225,2023-10-25,CA,None,0.189,0
226,2022-12-05,US,Silver,0.249,0
227,2023-07-01,US,None,0.217,0
228,2025-02-13,US,None,0.054,0
229,2022-12-05,US,None,0.143,0
230,2023-05-06,US,None,0.336,0
231,2025-07-07,US,None,0.146,0
232,2025-07-21,CA,Silver,0.415,0
233,2022-11-13,US,Gold,0.344,0
234,2023-01-06,US,Silver,0.164,0
235,2025-07-24,CA,None,0.139,0
236,2025-04-06,US,Silver,0.081,0
237,2023-01-29,US,None,0.085,0
238,2025-04-26,US,Gold,0.146,0
239,2024-07-19,US,None,0.106,0
240,2023-12-30,US,None,0.163,0
241,2025-08-07,US,Platinum,0.317,0
242,2023-06-19,US,Platinum,0.214,0
243,2025-06-25,US,None,0.283,0
244,2023-09-19,US,None,0.151,0
245,2023-08-12,CA,None,0.232,0
246,2025-01-01,US,None,0.142,0
247,2023-08-21,US,None,0.17,0
248,2023-06-09,CA,None,0.462,0
249,2024-07-30,US,Gold,0.125,0
250,2024-11-26,US,None,0.229,0
251,2023-02-10,US,Platinum,0.099,0
252,2025-07-30,US,Platinum,0.452,0
253,2024-03-13,US,None,0.104,0
254,2023-04-29,US,Silver,0.099,0
255,2023-07-08,US,None,0.363,0
256,2023-12-17,CA,None,0.259,0
257,2025-09-18,US,Platinum,0.165,0
258,2023-09-09,US,None,0.269,0
259,2024-11-20,US,None,0.176,0
260,2024-04-03,CA,None,0.128,0
261,2023-07-16,CA,None,0.153,0
262,2025-07-09,US,None,0.43,0
263,2025-05-14,CA,None,0.329,0
264,2023-05-08,US,Gold,0.228,0
265,2023-05-27,CA,Gold,0.194,0
266,2022-11-26,US,None,0.128,0
267,2024-12-06,US,Gold,0.146,0
268,2025-08-30,US,Silver,0.268,0
269,2025-06-11,US,None,0.064,0
270,2024-12-15,US,Silver,0.046,0
271,2025-08-03,US,None,0.264,0
272,2023-04-27,US,Silver,0.116,0
273,2024-05-16,US,None,0.315,0
274,2024-03-06,US,Gold,0.333,0
275,2024-09-18,US,Gold,0.195,0
276,2025-05-02,US,None,0.329,0
277,2025-02-16,US,Gold,0.317,0
278,2023-02-17,US,None,0.395,0
279,2023-02-20,US,None,0.126,0
280,2022-11-18,US,None,0.033,0
281,2025-03-30,US,Silver,0.009,0
282,2023-01-12,CA,Gold,0.301,0
283,2023-01-19,US,None,0.173,0
284,2024-03-26,US,Gold,0.075,0
285,2023-04-25,US,Silver,0.195,0
286,2024-08-01,CA,Silver,0.152,0
287,2023-12-30,US,Silver,0.177,0
288,2025-06-17,US,Silver,0.171,0
289,2025-05-24,US,Silver,0.288,0
290,2023-08-14,US,None,0.085,0
291,2024-03-15,US,Silver,0.181,0
292,2025-06-13,US,Gold,0.125,0
293,2023-12-12,US,Gold,0.244,0
294,2024-03-10,US,None,0.108,0
295,2024-10-13,US,Gold,0.071,0
296,2024-11-15,US,None,0.228,0
297,2025-01-13,US,Silver,0.207,0
298,2024-07-28,US,None,0.046,0
299,2023-03-29,US,None,0.358,0
300,2025-10-06,US,Silver,0.236,0
301,2022-12-17,CA,None,0.144,0
302,2024-04-12,US,None,0.027,0
303,2025-03-28,US,Silver,0.313,0
304,2023-08-31,US,None,0.211,0
305,2025-09-05,US,Silver,0.269,0
306,2024-11-25,US,Silver,0.2,0
307,2023-03-21,US,Silver,0.042,0
308,2023-05-01,CA,Silver,0.151,0
309,2024-03-28,US,None,0.276,0
310,2024-02-27,US,Silver,0.052,0
311,2023-01-29,US,Silver,0.157,0
312,2022-12-22,US,None,0.079,0
313,2023-10-01,US,Gold,0.288,0
314,2023-02-21,US,Gold,0.172,0
315,2025-08-07,CA,Silver,0.273,0
316,2023-12-13,US,Platinum,0.267,0
317,2024-04-09,CA,Gold,0.455,0
318,2024-12-14,CA,Platinum,0.409,0
319,2022-11-17,US,Silver,0.064,1
320,2023-04-12,US,None,0.251,0
321,2025-03-29,US,Silver,0.486,0
322,2025-08-04,CA,None,0.236,0
323,2024-01-22,US,Gold,0.494,0
324,2024-04-07,CA,None,0.155,0
325,2024-09-22,CA,Gold,0.345,0
326,2024-07-26,US,None,0.44,0
327,2023-07-15,US,None,0.097,0
328,2023-05-13,CA,None,0.159,0
329,2023-04-17,US,Silver,0.458,0
330,2025-08-30,US,Silver,0.176,0
331,2024-12-10,US,None,0.308,0
332,2023-05-25,US,Platinum,0.326,0
333,2023-11-13,US,None,0.1,0
334,2024-02-23,CA,None,0.309,0
335,2024-07-25,US,Platinum,0.252,0
336,2024-08-10,US,None,0.112,0
337,2023-04-06,CA,None,0.121,0
338,2025-03-11,US,Silver,0.436,1
339,2023-04-20,US,None,0.089,0
340,2025-06-12,US,None,0.285,0
341,2024-03-09,US,None,0.217,0
342,2024-04-24,US,None,0.34,0
343,2025-05-08,US,Gold,0.296,0
344,2022-12-15,US,None,0.168,0
345,2023-10-17,US,None,0.118,1
346,2025-05-20,US,None,0.408,0
347,2024-04-23,US,None,0.395,0
348,2022-12-12,US,Silver,0.225,0
349,2025-05-19,US,None,0.193,0
350,2025-02-13,US,Gold,0.074,0
351,2022-12-26,US,Gold,0.339,0
352,2024-11-26,US,Platinum,0.437,0
353,2024-07-26,US,None,0.079,0
354,2024-01-11,US,Gold,0.093,0
355,2024-03-29,US,Silver,0.096,0
356,2025-06-24,US,Silver,0.142,0
357,2023-11-12,US,Platinum,0.196,0
358,2025-07-08,US,Silver,0.178,0
359,2023-08-22,US,Gold,0.068,0
360,2022-11-12,US,Silver,0.432,0
361,2025-11-05,US,None,0.101,0
362,2024-10-25,US,None,0.184,0
363,2023-03-11,US,Silver,0.117,0
364,2023-08-10,US,Gold,0.362,0
365,2024-02-28,CA,None,0.115,0
366,2025-04-30,US,Gold,0.215,0
367,2025-04-20,US,Silver,0.484,0
368,2022-12-20,US,None,0.155,0
369,2024-03-03,US,Gold,0.227,0
370,2023-02-26,CA,Silver,0.101,0
371,2022-11-24,US,None,0.179,0
372,2023-02-23,US,None,0.278,0
373,2024-07-04,US,Silver,0.073,0
374,2024-08-16,CA,Gold,0.155,0
375,2024-11-12,CA,Silver,0.238,0
376,2024-04-17,US,Gold,0.039,0
377,2022-11-20,US,None,0.266,0
378,2023-05-26,US,None,0.216,1
379,2024-02-02,CA,Silver,0.127,0
380,2024-10-05,US,Silver,0.197,0
381,2022-11-18,US,None,0.431,0
382,2023-05-02,US,None,0.06,0
383,2025-02-06,US,Silver,0.198,0
384,2025-09-22,US,None,0.292,0
385,2023-01-29,US,None,0.107,0
386,2022-11-28,US,None,0.149,0
387,2025-03-04,US,None,0.341,0
388,2024-06-16,US,Silver,0.175,0
389,2025-10-20,US,None,0.101,0
390,2024-03-03,US,None,0.08,0
391,2024-04-02,US,None,0.297,0
392,2024-03-06,US,None,0.507,0
393,2025-08-30,US,None,0.236,0
394,2023-01-20,US,Gold,0.282,0
395,2025-02-26,US,Gold,0.131,0
396,2023-06-25,US,Gold,0.081,0
397,2025-02-25,US,Silver,0.065,0
398,2024-08-03,US,None,0.274,1
399,2023-09-18,US,Gold,0.365,0
400,2025-02-25,CA,Gold,0.155,0
401,2024-04-19,CA,None,0.132,0
402,2023-09-24,US,None,0.084,0
403,2025-01-13,US,None,0.33,0
404,2024-05-18,US,None,0.182,0
405,2024-11-11,CA,None,0.16,0
406,2024-06-14,CA,Gold,0.168,0
407,2023-12-09,US,None,0.331,0
408,2024-09-29,US,Silver,0.147,0
409,2023-01-22,US,None,0.194,0
410,2025-10-26,US,None,0.293,0
411,2023-09-10,US,Silver,0.272,0
412,2025-02-23,CA,Silver,0.331,0
413,2023-08-23,US,None,0.103,0
414,2023-08-21,US,None,0.245,0
415,2024-12-17,US,None,0.239,0
